entity	originDate	originPlace	qualifier
Bibeln. · [Apokryferna., Syrak. Svenska. 1541]			1541
Bibeln. · [Psaltaren. Polska] · 1594.			1594
Bibeln. · [Psaltaren. Svenska. 1703]			1703
Bibeln. · [Höga visan. Svenska. 1917]			1917
Bibeln. · [Höga Visan. Svenska. 1917]			1917
Bibeln. · [Psaltaren. Svenska. 1917]			1917
Bibeln. · [Psaltaren. Polska] · 1960.			1960
Bibeln. · [Matteusevangeliet. Svenska.] · 1963			1963
Bibeln. · [Kolosserbrevet., Authorized.] · eng			Authorised
Bibeln. · [1 Korinthierbrevet 1, XIII., Authorized.] · eng			Authorised
Bibeln. · [Korinthierbrevet 1., Authorized.] · Urval · eng			Authorised
Bibeln. · [Korinthierbrevet 2., Authorized.] · eng			Authorised
Bibeln. · [Apokryferna., Salomos vishet., Authorized] · eng			Authorised
Bibeln. · [Thessalonikerbrevet 1., Authorized.] · eng			Authorised
Bibeln. · [Thessalonikerbrevet 2., Authorized.] · eng			Authorised
Bibeln. · [Ordspråksboken. Svenska. Heyman]			Heyman
Bibeln. · [Jesaja., Svenska.] · Lindgren			Lindgren
Bibeln. · [Moseböckerna. Latin. Targum Onkelos]			Targum Onkelos
Bibeln. Finska. 1642			1642
Bibeln. Finska. 1992			1992
Bibeln. Franska. Ostervald			Ostervald
Bibeln. Latin. Vulgata			Vulgata
Bibeln. Samiska. 1811			1811
Bibeln. Svenska. 1703			1703
Bible. · [Mark. Somali.] · 1915.			1915
Bible. · [O.T., Song of Solomon., Ainsworth.] · eng			Ainsworth      
Bible. · [O.T., Psalms., Alexander.] · eng			Alexander
Bible. · [N.T., Gospels. English. Authorized.] · Selections			Authorised
Bible. · [N.T., Gospel Harmonies., Authorised.] · eng			Authorised
Bible. · [N.T., Gospels., Authorised.] · eng			Authorised
Bible. · [N.T., Mark & Luke., Authorised.] · eng			Authorised
Bible. · [N.T., Philemon., Authorised.] · eng			Authorised
Bible. · [N.T., Philippians., Authorised.] · eng			Authorised
Bible. · [N.T., Galatians., Authorised.] · eng			Authorised
Bible. · [O.T., Authorised.] · English and Hebrew.			Authorised
Bible. · [O.T., Hagiographa., Authorised.] · eng			Authorised
Bible. · [O.T., Hagiographa., Authorised.] · Selections. · eng			Authorised
Bible. · [O.T., Hagiographa., Authorised.] · Selections. · English and Latin.			Authorised
Bible. · [N.T., Hebrews., Authorised.] · Selections. · eng			Authorised
Bible. · [N.T., Hebrews., Authorised.] · eng			Authorised
Bible. · [O.T., Ezekiel XXXV., Authorised.] · eng			Authorised
Bible. · [O.T., Historical Books., Authorised.] · eng			Authorised
Bible. · [O.T., Song of Solomon., Authorised.] · eng			Authorised
Bible. · [N.T., James., Authorised.] · eng			Authorised
Bible. · [O.T., Isaiah XXII, 15-25., Authorised.] · eng			Authorised
Bible. · [O.T., Isaiah., Authorised.] · eng			Authorised
Bible. · [N.T., John., Authorised.] · eng			Authorised
Bible. · [N.T., Mark., Authorised.] · eng			Authorised
Bible. · [N.T., Matthew., Authorised.] · eng			Authorised
Bible. · [N.T., Matthew., Authorised.] · Selections. · eng			Authorised
Bible. · [N.T., Matthew V-VII., Authorised.] · eng			Authorised
Bible. · [O.T., Genesis I., Authorised.] · eng			Authorised
Bible. · [O.T., Genesis II., Authorised.] · eng			Authorised
Bible. · [O.T., Genesis I-II., Authorised.] · eng			Authorised
Bible. · [O.T., Genesis., Authorised.] · eng			Authorised
Bible. · [O.T., Pentateuch., Authorised.] · eng			Authorised
Bible. · [N.T., Revelation., Authorised.] · Selections. · eng			Authorised
Bible. · [N.T., Authorised.] · eng			Authorised
Bible. · [N.T., 1 Peter., Authorised.] · eng			Authorised
Bible. · [O.T., Ecclesiastes., Authorised.] · eng			Authorised
Bible. · [O.T., Psalms., Psalm 2., Authorised.] · eng			Authorised
Bible. · [O.T., Psalms., Authorised.] · eng			Authorised
Bible. · [O.T., Psalms., Authorised.] · Selections. · eng			Authorised
Bible. · [N.T., Romans., Authorised.] · Selections. · eng			Authorised
Bible. · [N.T., Romans., Authorised.] · eng			Authorised
Bible. · [N.T., 1 Timothy., Authorised.] · eng			Authorised
Bible. · [N.T., Titus., Authorised.] · eng			Authorised
Bible. · [N.T., Revelation., Authorised.] · eng			Authorised
Bible. · [O.T., Psalms., Bacon.] · Selections. · eng			Bacon
Bible. · [O.T., Song of Solomon., Baerle.] · lat			Baerle
Bible. · [N.T., Gospel Harmonies., Baker.] · eng			Baker
Bible. · [O.T., Song of Solomon., Baldwin.] · eng			Baldwin
Bible. · [O.T., Psalms., Barclay.] · eng			Barclay
Bible. · [O.T., Psalms., Barnard.] · eng			Barnard
Bible. · [O.T., Psalms., Barton.] · eng			Barton
Bible. · [O.T., Pentateuch., Bate.] · eng			Bate
Bible. · [N.T., Matthew., Beausobre and Lenfant.] · eng			Beausobre and Lenfant
Bible. · [O.T., Psalms., Beauvais.] · fre			Beauvais
Bible. · [O.T., Psalms., Beza.] · lat			Beza
Bible. · [O.T., Psalms., Beza.] · Paraphrases. · eng			Beza
Bible. · [N.T., Beza.] · lat			Beza 
Bible. · [N.T., Beza.] · 1579. · lat			Beza. 1579
Bible. · [N.T., Gospel Harmonies., Birchley.] · eng			Birchley
Bible. · [O.T., Job., Blackmore.] · eng			Blackmore
Bible. · [O.T., Psalms., Blackwell.] · eng			Blackwell
Bible. · [O.T., Jeremiah, and Lamentations., Blayney.] · eng			Blayney
Bible. · [O.T., Zechariah., Blayney.] · eng			Blayney
Bible. · [O.T., Psalms., Blyth.] · Selections. · eng			Blyth
Bible. · [O.T., Psalms., Boisgelin.] · Selections. · eng			Boisgelin
Bible. · [O.T., Psalms., Boswell.] · eng			Boswell
Bible. · [O.T., Psalms., Brathwait.] · eng			Brathwait
Bible. · [N.T., Bridges.] · lat			Bridges
Bible. · [O.T., Job., Broughton.] · eng			Broughton                
Bible. · [O.T., Lamentations., Broughton.] · eng			Broughton                
Bible. · [O.T., Psalms., Buchanan.] · English and Latin.			Buchanan
Bible. · [O.T., Psalms., Buchanan.] · Latin and Greek.			Buchanan
Bible. · [O.T., Psalms., Buchanan] · lat			Buchanan
Bible. · [O.T., Psalms., Paraphrases.] · Buchanan. · 1660. · lat			Buchanan
Bible. · [O.T., Psalms., Buchanan.] · lat			Buchanan
Bible. · [O.T., Burton.] · Selections. · Polyglot.			Burton
